Date,AOR_Key,Encounter_Count,Count_of_Event,Sum_Qty_(lbs)
2022-11-01,LOS ANGELES,1774.0,190.0,463.61992337668516
2022-11-01,MIAMI FIELD,975.0,597.0,854.8266358070408
2022-11-01,MIAMI SECTOR,145.0,12.0,136.45080000000002
2022-11-01,NEW ORLEANS,1852.0,98.0,413.2248276391858
2022-11-01,NEW YORK,1678.0,1960.0,3541.8184143017425
2022-11-01,PORTLAND FIELD,135.0,2.0,0.2689639596399999
2022-11-01,PRECLEARANCE FIELD,691.0,48.0,10.1169691107276
2022-11-01,RAMEY SECTOR,175.0,1.0,1010.5515
2022-11-01,RIO GRANDE,47999.0,52.0,2982.4536
2022-11-01,SAN DIEGO,17873.0,338.0,26299.76846907254
2022-11-01,SAN FRANCISCO,689.0,194.0,237.8192779334862
2022-11-01,SAN JUAN,664.0,107.0,3556.958836514402
2022-11-01,SEATTLE FIELD,1996.0,120.0,21.1455717210514
2022-11-01,SPOKANE SECTOR,7.0,0.0,0.0
2022-11-01,SWANTON SECTOR,38.0,0.0,0.0
2022-11-01,TAMPA FIELD,315.0,36.0,14.5367083543988
2022-11-01,TUCSON FIELD,610.0,63.0,857.8180441476665
2022-11-01,TUCSON SECTOR,21515.0,86.0,369.8974
2022-11-01,YUMA SECTOR,23062.0,12.0,37.2025
2022-12-01,ATLANTA FIELD,1186.0,19.0,124.6156101624878
2022-12-01,BALTIMORE FIELD,1053.0,77.0,297.3038763568974
